zone_id,annee,cumul_pluie_hivernage_mm,nb_jours_pluie,pluie_max_24h_mm,pluie_max_72h_mm,hauteur_crue_fleuve_m,inondation,is_riverain,localite,region,latitude,longitude,altitude_m,pente_pct,distance_plan_eau_m,taux_impermeabilisation_pct,densite_pop_hab_km2,profondeur_nappe_m,nb_inondations_2005_2014,log_distance_plan_eau,zone_basse,indice_pluie_impermeabilisation,assainissement_score,historique_frequence,sol_Argileux,sol_Argilo-sableux,sol_Hydromorphe,sol_Latéritique,sol_Sableux,occ_Agricole,occ_Urbain dense,occ_Urbain lâche,occ_Végétation naturelle,occ_Zone humide (Niayes/bas-fond),assain_Aucun,assain_Complet,assain_Inconnu,assain_Partiel
Z0001,2015,354.6,33,31.0,41.0,0.0,1,0,Pikine,Dakar,14.77455,-17.39166,0.5,0.43,251,25.0,276,2.5,2,5.529429087511423,1,7.75,1,0.2,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Z0001,2016,455.9,35,27.4,49.6,0.0,1,0,Pikine,Dakar,14.77455,-17.39166,0.5,0.43,251,25.0,276,2.5,2,5.529429087511423,1,6.85,1,0.2,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Z0001,2017,327.1,24,25.1,45.5,0.0,1,0,Pikine,Dakar,14.77455,-17.39166,0.5,0.43,251,25.0,276,2.5,2,5.529429087511423,1,6.275,1,0.2,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Z0001,2018,275.3,30,11.9,25.2,0.0,1,0,Pikine,Dakar,14.77455,-17.39166,0.5,0.43,251,25.0,276,2.5,2,5.529429087511423,1,2.975,1,0.2,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Z0001,2019,545.2,36,11.4,13.9,0.0,1,0,Pikine,Dakar,14.77455,-17.39166,0.5,0.43,251,25.0,276,2.5,2,5.529429087511423,1,2.85,1,0.2,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Z0001,2020,536.7,37,10.0,14.7,0.0,1,0,Pikine,Dakar,14.77455,-17.39166,0.5,0.43,251,25.0,276,2.5,2,5.529429087511423,1,2.5,1,0.2,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Z0001,2021,424.5,29,22.4,27.4,0.0,1,0,Pikine,Dakar,14.77455,-17.39166,0.5,0.43,251,25.0,276,2.5,2,5.529429087511423,1,5.6,1,0.2,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Z0001,2022,502.9,41,18.8,29.4,0.0,0,0,Pikine,Dakar,14.77455,-17.39166,0.5,0.43,251,25.0,276,2.5,2,5.529429087511423,1,4.7,1,0.2,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Z0001,2023,371.6,29,13.4,27.2,0.0,1,0,Pikine,Dakar,14.77455,-17.39166,0.5,0.43,251,25.0,276,2.5,2,5.529429087511423,1,3.35,1,0.2,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Z0001,2024,413.5,25,13.4,22.4,0.0,1,0,Pikine,Dakar,14.77455,-17.39166,0.5,0.43,251,25.0,276,2.5,2,5.529429087511423,1,3.35,1,0.2,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Z0002,2015,377.0,26,11.9,22.7,0.0,0,0,Pikine,Dakar,14.75951,-17.40893,6.2,0.87,1305,37.1,6555,2.4,0,7.174724309836376,1,4.4149,1,0.0,False,False,False,False,True,False,False,True,False,False,False,False,False,True
